REF_AREA,Reference area,MEASURE,Measure,SEX,OBS_VALUE,Unit of measure
GRC,Greece,LEI,Leisure,M,375.0,Minutes per day
GRC,Greece,LEI,Leisure,F,310.0,Minutes per day
GRC,Greece,PCA,Personal care,_T,685.0,Minutes per day
GRC,Greece,PCA,Personal care,M,689.0,Minutes per day
GRC,Greece,PCA,Personal care,F,680.0,Minutes per day
GRC,Greece,UPW,Unpaid work,_T,184.0,Minutes per day
GRC,Greece,UPW,Unpaid work,M,97.0,Minutes per day
GRC,Greece,UPW,Unpaid work,F,260.0,Minutes per day
GRC,Greece,PAW,Paid work or study,_T,230.0,Minutes per day
GRC,Greece,PAW,Paid work or study,M,276.0,Minutes per day
GRC,Greece,PAW,Paid work or study,F,183.0,Minutes per day
HUN,Hungary,OTH,Other,M,10.5516108896624,Minutes per day
HUN,Hungary,LEI,Leisure,M,308.157116482696,Minutes per day
HUN,Hungary,PCA,Personal care,M,686.293115347827,Minutes per day
HUN,Hungary,UPW,Unpaid work,M,162.341045980129,Minutes per day
HUN,Hungary,PAW,Paid work or study,M,272.657111299686,Minutes per day
HUN,Hungary,OTH,Other,F,7.6134485606417,Minutes per day
HUN,Hungary,LEI,Leisure,F,256.841156877389,Minutes per day
HUN,Hungary,PCA,Personal care,F,679.271815164226,Minutes per day
HUN,Hungary,UPW,Unpaid work,F,293.767324683589,Minutes per day
HUN,Hungary,PAW,Paid work or study,F,202.506254714154,Minutes per day
HUN,Hungary,OTH,Other,_T,8.73818704873854,Minutes per day
HUN,Hungary,LEI,Leisure,_T,281.349701323258,Minutes per day
HUN,Hungary,PCA,Personal care,_T,683.139152210002,Minutes per day
HUN,Hungary,UPW,Unpaid work,_T,229.15895598638,Minutes per day
IRL,Ireland,LEI,Leisure,_T,312.31158,Minutes per day
IRL,Ireland,LEI,Leisure,F,286.98392,Minutes per day
IRL,Ireland,PCA,Personal care,F,623.13239,Minutes per day
IRL,Ireland,PAW,Paid work or study,_T,267.96129,Minutes per day
IRL,Ireland,OTH,Other,M,39.90444,Minutes per day
IRL,Ireland,LEI,Leisure,M,337.57702,Minutes per day
IRL,Ireland,PCA,Personal care,M,594.72988,Minutes per day
IRL,Ireland,UPW,Unpaid work,M,126.978151,Minutes per day
IRL,Ireland,PAW,Paid work or study,M,340.81053,Minutes per day
IRL,Ireland,OTH,Other,F,42.442702,Minutes per day
IRL,Ireland,UPW,Unpaid work,F,292.508303,Minutes per day
IRL,Ireland,PAW,Paid work or study,F,194.9327,Minutes per day
IRL,Ireland,PCA,Personal care,_T,608.91367,Minutes per day
IRL,Ireland,UPW,Unpaid work,_T,209.641482,Minutes per day
ITA,Italy,OTH,Other,M,12.0628180887634,Minutes per day
ITA,Italy,LEI,Leisure,M,366.095753217538,Minutes per day
ITA,Italy,PCA,Personal care,M,710.318418441344,Minutes per day
ITA,Italy,UPW,Unpaid work,M,130.70904349082,Minutes per day
ITA,Italy,PAW,Paid work or study,M,220.813966761535,Minutes per day
ITA,Italy,OTH,Other,F,14.2947771947521,Minutes per day
ITA,Italy,LEI,Leisure,F,280.922253677419,Minutes per day
ITA,Italy,PCA,Personal care,F,705.327315056609,Minutes per day
ITA,Italy,UPW,Unpaid work,F,306.335941182031,Minutes per day
ITA,Italy,PAW,Paid work or study,F,133.119712889189,Minutes per day
ITA,Italy,OTH,Other,_T,13.1853614591596,Minutes per day
ITA,Italy,LEI,Leisure,_T,323.258616938897,Minutes per day
ITA,Italy,PCA,Personal care,_T,707.808218002521,Minutes per day
ITA,Italy,PAW,Paid work or study,_T,176.70905816186,Minutes per day
JPN,Japan,OTH,Other,M,34.0,Minutes per day
JPN,Japan,OTH,Other,F,40.0,Minutes per day
JPN,Japan,LEI,Leisure,_T,269.0,Minutes per day
JPN,Japan,LEI,Leisure,M,284.0,Minutes per day
JPN,Japan,LEI,Leisure,F,254.0,Minutes per day
JPN,Japan,PCA,Personal care,_T,640.0,Minutes per day
JPN,Japan,PCA,Personal care,M,632.0,Minutes per day
JPN,Japan,PCA,Personal care,F,647.0,Minutes per day
JPN,Japan,UPW,Unpaid work,_T,125.0,Minutes per day
JPN,Japan,UPW,Unpaid work,M,47.0,Minutes per day
JPN,Japan,UPW,Unpaid work,F,208.0,Minutes per day
JPN,Japan,PAW,Paid work or study,_T,368.0,Minutes per day
JPN,Japan,PAW,Paid work or study,M,442.0,Minutes per day
JPN,Japan,PAW,Paid work or study,F,292.0,Minutes per day
KOR,Korea,PCA,Personal care,_T,677.847421075598,Minutes per day
KOR,Korea,OTH,Other,M,23.7392112877499,Minutes per day
KOR,Korea,LEI,Leisure,M,272.447789400641,Minutes per day
KOR,Korea,PCA,Personal care,M,675.832424585911,Minutes per day
KOR,Korea,UPW,Unpaid work,M,48.9944848608272,Minutes per day
KOR,Korea,PAW,Paid work or study,M,418.986089864867,Minutes per day
KOR,Korea,OTH,Other,F,31.7564683388117,Minutes per day
KOR,Korea,LEI,Leisure,F,243.971318543532,Minutes per day
KOR,Korea,PCA,Personal care,F,679.876804693769,Minutes per day
KOR,Korea,UPW,Unpaid work,F,215.008936662608,Minutes per day
KOR,Korea,PAW,Paid work or study,F,269.386471761285,Minutes per day
KOR,Korea,OTH,Other,_T,27.7335798643878,Minutes per day
KOR,Korea,UPW,Unpaid work,_T,131.706428025599,Minutes per day
KOR,Korea,PAW,Paid work or study,_T,344.452367193367,Minutes per day
LVA,Latvia,LEI,Leisure,M,290.47875347107,Minutes per day
LVA,Latvia,PCA,Personal care,M,639.602900542765,Minutes per day
LVA,Latvia,UPW,Unpaid work,M,129.726897150602,Minutes per day
LVA,Latvia,PAW,Paid work or study,M,376.93106909732,Minutes per day
LVA,Latvia,OTH,Other,F,5.33583331988962,Minutes per day
LVA,Latvia,LEI,Leisure,F,249.248179830482,Minutes per day
LVA,Latvia,PCA,Personal care,F,643.693565341687,Minutes per day
LVA,Latvia,UPW,Unpaid work,F,253.2541126242,Minutes per day
LVA,Latvia,PAW,Paid work or study,F,288.468308883741,Minutes per day
LVA,Latvia,OTH,Other,_T,3.84950740685502,Minutes per day
LVA,Latvia,LEI,Leisure,_T,268.841314115382,Minutes per day
LVA,Latvia,PCA,Personal care,_T,641.296207711742,Minutes per day
LVA,Latvia,UPW,Unpaid work,_T,196.074543891354,Minutes per day
LVA,Latvia,PAW,Paid work or study,_T,329.938426874667,Minutes per day
LTU,Lithuania,OTH,Other,F,8.69442252305132,Minutes per day
LTU,Lithuania,LEI,Leisure,M,282.19783185362,Minutes per day
LTU,Lithuania,LEI,Leisure,F,215.298857870942,Minutes per day
LTU,Lithuania,PCA,Personal care,M,644.323489643715,Minutes per day
LTU,Lithuania,PCA,Personal care,F,644.797666656861,Minutes per day
LTU,Lithuania,UPW,Unpaid work,M,151.6108055203,Minutes per day
LTU,Lithuania,UPW,Unpaid work,F,291.951659066224,Minutes per day
LTU,Lithuania,PAW,Paid work or study,M,354.262732052054,Minutes per day
LTU,Lithuania,PAW,Paid work or study,F,279.257393882923,Minutes per day
LTU,Lithuania,OTH,Other,_T,8.1680722499444,Minutes per day
LTU,Lithuania,LEI,Leisure,_T,246.606803007443,Minutes per day
LTU,Lithuania,PCA,Personal care,_T,645.538649513615,Minutes per day
LTU,Lithuania,UPW,Unpaid work,_T,224.471325068096,Minutes per day
LTU,Lithuania,PAW,Paid work or study,_T,315.215150160901,Minutes per day
LUX,Luxembourg,LEI,Leisure,M,299.041394735763,Minutes per day
LUX,Luxembourg,PCA,Personal care,M,676.86338955921,Minutes per day
LUX,Luxembourg,UPW,Unpaid work,M,121.075181416472,Minutes per day
LUX,Luxembourg,PAW,Paid work or study,M,329.995018587546,Minutes per day
LUX,Luxembourg,OTH,Other,F,14.5123881177844,Minutes per day
LUX,Luxembourg,LEI,Leisure,F,253.023219613439,Minutes per day
LUX,Luxembourg,PCA,Personal care,F,694.01245297704,Minutes per day
LUX,Luxembourg,UPW,Unpaid work,F,239.61742768193,Minutes per day
LUX,Luxembourg,PAW,Paid work or study,F,238.866389933843,Minutes per day
LUX,Luxembourg,OTH,Other,_T,14.0634171949444,Minutes per day
LUX,Luxembourg,LEI,Leisure,_T,276.385699779144,Minutes per day
LUX,Luxembourg,PCA,Personal care,_T,685.668230952173,Minutes per day
LUX,Luxembourg,UPW,Unpaid work,_T,179.155603986542,Minutes per day
LUX,Luxembourg,PAW,Paid work or study,_T,284.688134496738,Minutes per day
MEX,Mexico,UPW,Unpaid work,F,380.0,Minutes per day
MEX,Mexico,OTH,Other,F,23.2145603,Minutes per day
MEX,Mexico,LEI,Leisure,M,186.602155,Minutes per day
MEX,Mexico,LEI,Leisure,F,159.110852,Minutes per day
MEX,Mexico,PCA,Personal care,M,624.21898,Minutes per day
MEX,Mexico,PCA,Personal care,F,641.76293,Minutes per day
MEX,Mexico,UPW,Unpaid work,M,131.419215,Minutes per day
MEX,Mexico,PAW,Paid work or study,_T,349.152146,Minutes per day
MEX,Mexico,PAW,Paid work or study,M,478.332964,Minutes per day
MEX,Mexico,PAW,Paid work or study,F,236.3285411,Minutes per day
MEX,Mexico,OTH,Other,_T,21.448615,Minutes per day
MEX,Mexico,LEI,Leisure,_T,171.927427,Minutes per day
MEX,Mexico,PCA,Personal care,_T,633.58384,Minutes per day
MEX,Mexico,UPW,Unpaid work,_T,263.887872,Minutes per day
NLD,Netherlands,OTH,Other,M,13.8255825399848,Minutes per day
NLD,Netherlands,LEI,Leisure,M,329.58532083016,Minutes per day
NLD,Netherlands,PCA,Personal care,M,666.232539984768,Minutes per day
NLD,Netherlands,UPW,Unpaid work,M,145.417069878142,Minutes per day
NLD,Netherlands,PAW,Paid work or study,M,284.93920573115,Minutes per day
NLD,Netherlands,OTH,Other,F,16.739884275353,Minutes per day
NLD,Netherlands,LEI,Leisure,F,300.223045750429,Minutes per day
NLD,Netherlands,PCA,Personal care,F,696.658049666797,Minutes per day
NLD,Netherlands,UPW,Unpaid work,F,224.946109997294,Minutes per day
NLD,Netherlands,PAW,Paid work or study,F,201.432569452333,Minutes per day
NLD,Netherlands,OTH,Other,_T,15.2966546858883,Minutes per day
NLD,Netherlands,PCA,Personal care,_T,681.590620014206,Minutes per day
NLD,Netherlands,UPW,Unpaid work,_T,185.561382441438,Minutes per day
NLD,Netherlands,PAW,Paid work or study,_T,242.787032776412,Minutes per day
NZL,New Zealand,OTH,Other,M,16.0,Minutes per day
NZL,New Zealand,OTH,Other,F,19.0,Minutes per day
NZL,New Zealand,LEI,Leisure,_T,301.0,Minutes per day
NZL,New Zealand,LEI,Leisure,M,306.0,Minutes per day
NZL,New Zealand,LEI,Leisure,F,295.0,Minutes per day
NZL,New Zealand,PCA,Personal care,_T,648.0,Minutes per day
NZL,New Zealand,PCA,Personal care,M,639.0,Minutes per day
NZL,New Zealand,PCA,Personal care,F,656.0,Minutes per day
NZL,New Zealand,UPW,Unpaid work,_T,204.0,Minutes per day
NZL,New Zealand,UPW,Unpaid work,M,141.0,Minutes per day
NZL,New Zealand,UPW,Unpaid work,F,264.0,Minutes per day
NZL,New Zealand,PAW,Paid work or study,_T,270.0,Minutes per day
NZL,New Zealand,PAW,Paid work or study,M,338.0,Minutes per day
NZL,New Zealand,PAW,Paid work or study,F,205.0,Minutes per day
NOR,Norway,OTH,Other,M,14.371084872508,Minutes per day
NOR,Norway,LEI,Leisure,M,367.087541143803,Minutes per day
NOR,Norway,PCA,Personal care,M,595.856163283617,Minutes per day
NOR,Norway,UPW,Unpaid work,M,159.932403385848,Minutes per day
NOR,Norway,PAW,Paid work or study,M,302.752780732919,Minutes per day
NOR,Norway,OTH,Other,F,9.11116211505578,Minutes per day
NOR,Norway,LEI,Leisure,F,339.789029859283,Minutes per day
NOR,Norway,PCA,Personal care,F,631.99754814757,Minutes per day
NOR,Norway,UPW,Unpaid work,F,212.059552540682,Minutes per day
NOR,Norway,PAW,Paid work or study,F,247.042684622866,Minutes per day
NOR,Norway,OTH,Other,_T,11.7128221366738,Minutes per day
NOR,Norway,PCA,Personal care,_T,613.333785205978,Minutes per day
NOR,Norway,UPW,Unpaid work,_T,185.581687487247,Minutes per day
NOR,Norway,PAW,Paid work or study,_T,275.404025061653,Minutes per day
POL,Poland,LEI,Leisure,M,281.218841552734,Minutes per day
POL,Poland,PCA,Personal care,M,665.15234375,Minutes per day
POL,Poland,UPW,Unpaid work,M,189.473693847656,Minutes per day
POL,Poland,PAW,Paid work or study,M,272.243774414063,Minutes per day
POL,Poland,OTH,Other,F,36.9486846923828,Minutes per day
POL,Poland,LEI,Leisure,F,245.658813476563,Minutes per day
POL,Poland,PCA,Personal care,F,693.037475585938,Minutes per day
POL,Poland,UPW,Unpaid work,F,292.593627929688,Minutes per day
POL,Poland,PAW,Paid work or study,F,171.761444091797,Minutes per day
POL,Poland,OTH,Other,_T,35.0,Minutes per day
POL,Poland,LEI,Leisure,_T,261.0,Minutes per day
POL,Poland,PCA,Personal care,_T,682.0,Minutes per day
POL,Poland,UPW,Unpaid work,_T,248.0,Minutes per day
POL,Poland,PAW,Paid work or study,_T,214.0,Minutes per day
PRT,Portugal,OTH,Other,M,5.0314465408805,Minutes per day
PRT,Portugal,LEI,Leisure,M,289.140461215933,Minutes per day
PRT,Portugal,PCA,Personal care,M,677.232704402516,Minutes per day
PRT,Portugal,UPW,Unpaid work,M,96.2683438155136,Minutes per day
PRT,Portugal,PAW,Paid work or study,M,372.327044025157,Minutes per day
PRT,Portugal,OTH,Other,F,7.0391061452514,Minutes per day
PRT,Portugal,LEI,Leisure,F,199.776536312849,Minutes per day
PRT,Portugal,PCA,Personal care,F,673.743016759777,Minutes per day
PRT,Portugal,UPW,Unpaid work,F,328.156424581006,Minutes per day
PRT,Portugal,PAW,Paid work or study,F,231.284916201117,Minutes per day
PRT,Portugal,OTH,Other,_T,6.04195804195804,Minutes per day
PRT,Portugal,LEI,Leisure,_T,240.671328671329,Minutes per day
PRT,Portugal,UPW,Unpaid work,_T,222.545454545455,Minutes per day
PRT,Portugal,PAW,Paid work or study,_T,295.048951048951,Minutes per day
SVN,Slovenia,LEI,Leisure,M,336.935933147632,Minutes per day
SVN,Slovenia,PCA,Personal care,M,631.754874651811,Minutes per day
SVN,Slovenia,UPW,Unpaid work,M,166.462395543175,Minutes per day
SVN,Slovenia,PAW,Paid work or study,M,299.83286908078,Minutes per day
SVN,Slovenia,OTH,Other,F,6.00416956219597,Minutes per day
SVN,Slovenia,LEI,Leisure,F,283.196664350243,Minutes per day
SVN,Slovenia,PCA,Personal care,F,630.437804030577,Minutes per day
SVN,Slovenia,UPW,Unpaid work,F,286.198749131341,Minutes per day
SVN,Slovenia,PAW,Paid work or study,F,234.162612925643,Minutes per day
SVN,Slovenia,OTH,Other,_T,5.99167822468793,Minutes per day
SVN,Slovenia,LEI,Leisure,_T,310.568654646324,Minutes per day
SVN,Slovenia,PCA,Personal care,_T,628.127600554785,Minutes per day
SVN,Slovenia,UPW,Unpaid work,_T,230.679611650485,Minutes per day
SVN,Slovenia,PAW,Paid work or study,_T,264.632454923717,Minutes per day
ESP,Spain,OTH,Other,M,13.661777,Minutes per day
ESP,Spain,OTH,Other,F,13.180323,Minutes per day
ESP,Spain,LEI,Leisure,_T,316.049266,Minutes per day
ESP,Spain,LEI,Leisure,M,347.169256,Minutes per day
ESP,Spain,PCA,Personal care,M,696.87999,Minutes per day
ESP,Spain,UPW,Unpaid work,M,145.9093127,Minutes per day
ESP,Spain,PAW,Paid work or study,M,236.2291275,Minutes per day
ESP,Spain,LEI,Leisure,F,283.995586,Minutes per day
ESP,Spain,PCA,Personal care,F,686.55228,Minutes per day
ESP,Spain,UPW,Unpaid work,F,289.1279055,Minutes per day
ESP,Spain,PAW,Paid work or study,F,166.7536196,Minutes per day
ESP,Spain,PCA,Personal care,_T,691.79239,Minutes per day
ESP,Spain,UPW,Unpaid work,_T,216.7291055,Minutes per day
ESP,Spain,PAW,Paid work or study,_T,202.0047329,Minutes per day
SWE,Sweden,LEI,Leisure,M,338.0,Minutes per day
SWE,Sweden,PCA,Personal care,M,611.0,Minutes per day
SWE,Sweden,UPW,Unpaid work,M,171.0,Minutes per day
SWE,Sweden,PAW,Paid work or study,M,313.0,Minutes per day
SWE,Sweden,UPW,Unpaid work,_T,196.499173777816,Minutes per day
SWE,Sweden,OTH,Other,F,5.00347463516331,Minutes per day
SWE,Sweden,LEI,Leisure,F,306.212647671994,Minutes per day
SWE,Sweden,PCA,Personal care,F,633.439888811675,Minutes per day
SWE,Sweden,UPW,Unpaid work,F,220.152883947186,Minutes per day
SWE,Sweden,PAW,Paid work or study,F,275.191104933982,Minutes per day
SWE,Sweden,OTH,Other,_T,6.13985651363188,Minutes per day
SWE,Sweden,LEI,Leisure,_T,321.484572513213,Minutes per day
SWE,Sweden,PCA,Personal care,_T,622.46952542036,Minutes per day
SWE,Sweden,PAW,Paid work or study,_T,293.406871774976,Minutes per day
TUR,Türkiye,PCA,Personal care,_T,681.79669,Minutes per day
TUR,Türkiye,PAW,Paid work or study,_T,246.3159874,Minutes per day
TUR,Türkiye,OTH,Other,M,34.11682,Minutes per day
TUR,Türkiye,LEI,Leisure,M,300.954951,Minutes per day
TUR,Türkiye,UPW,Unpaid work,M,67.5917389,Minutes per day
TUR,Türkiye,PAW,Paid work or study,M,358.2501105,Minutes per day
TUR,Türkiye,OTH,Other,F,46.099935,Minutes per day
TUR,Türkiye,LEI,Leisure,F,270.447376,Minutes per day
TUR,Türkiye,PCA,Personal care,F,684.50614,Minutes per day
TUR,Türkiye,UPW,Unpaid work,F,305.047395,Minutes per day
TUR,Türkiye,PAW,Paid work or study,F,133.9472367,Minutes per day
TUR,Türkiye,OTH,Other,_T,40.096759,Minutes per day
TUR,Türkiye,LEI,Leisure,_T,285.730729,Minutes per day
TUR,Türkiye,UPW,Unpaid work,_T,186.089492,Minutes per day
GBR,United Kingdom,OTH,Other,M,29.8696044870127,Minutes per day
GBR,United Kingdom,LEI,Leisure,M,326.515733433541,Minutes per day
GBR,United Kingdom,PCA,Personal care,M,634.916891715024,Minutes per day
GBR,United Kingdom,UPW,Unpaid work,M,140.081795190296,Minutes per day
GBR,United Kingdom,PAW,Paid work or study,M,308.615975174126,Minutes per day
GBR,United Kingdom,OTH,Other,F,35.0578374649938,Minutes per day
GBR,United Kingdom,LEI,Leisure,F,284.67795888641,Minutes per day
GBR,United Kingdom,PCA,Personal care,F,655.427152072559,Minutes per day
GBR,United Kingdom,UPW,Unpaid work,F,248.632290190633,Minutes per day
GBR,United Kingdom,PAW,Paid work or study,F,216.204761385404,Minutes per day
GBR,United Kingdom,OTH,Other,_T,32.4718942159398,Minutes per day
GBR,United Kingdom,LEI,Leisure,_T,305.53093651479,Minutes per day
GBR,United Kingdom,PCA,Personal care,_T,645.20437434277,Minutes per day
GBR,United Kingdom,PAW,Paid work or study,_T,262.264909867927,Minutes per day
USA,United States,OTH,Other,M,18.2189540863037,Minutes per day
USA,United States,LEI,Leisure,M,304.912994384766,Minutes per day
USA,United States,PCA,Personal care,M,652.301330566406,Minutes per day
USA,United States,UPW,Unpaid work,M,159.102722167969,Minutes per day
