tab,edu,age,job,value
08,03,11,050,225.0
08,03,11,060,219.5
08,03,11,070,239.5
08,03,11,080,236.5
08,03,11,090,272.2
08,03,11,100,319.0
08,03,11,110,221.6
08,03,11,999,289.8
08,06,11,010,523.7
08,06,11,020,471.6
08,06,11,030,322.9
08,06,11,040,342.9
08,06,11,050,240.0
08,06,11,060,223.6
08,06,11,070,208.0
08,06,11,080,268.0
08,06,11,090,256.2
08,06,11,100,343.2
08,06,11,110,244.1
08,06,11,999,383.7
08,03,12,010,394.8
08,03,12,020,289.8
08,03,12,030,235.8
08,03,12,040,238.1
08,03,12,050,198.0
08,03,12,060,203.6
08,03,12,070,210.2
08,03,12,080,212.9
08,03,12,090,239.3
08,03,12,100,277.9
08,03,12,110,191.5
08,03,12,999,261.0
08,06,12,010,451.2
08,06,12,020,532.6
08,06,12,030,285.8
08,06,12,040,324.6
08,06,12,050,198.8
08,06,12,060,211.6
08,06,12,070,192.5
08,06,12,080,241.5
08,06,12,090,226.2
08,06,12,100,358.9
08,06,12,110,196.7
08,06,12,999,262.6
08,03,13,010,341.2
08,03,13,020,271.5
08,03,13,030,215.2
08,03,13,040,257.5
08,03,13,050,198.7
08,03,13,060,189.2
08,03,13,070,233.7
08,03,13,080,210.2
08,03,13,090,221.7
08,03,13,100,247.7
08,03,13,110,184.1
08,03,13,999,293.1
08,06,13,010,425.0
08,06,13,020,597.8
08,06,13,030,301.7
08,06,13,040,228.5
08,06,13,050,191.6
08,06,13,060,200.7
08,06,13,070,199.6
08,06,13,080,246.1
08,06,13,090,185.0
08,06,13,100,245.8
08,06,13,110,188.1
08,06,13,999,219.9
12,03,01,010,1557.6
12,03,01,020,995.8
12,03,01,030,793.7
12,03,01,040,552.6
12,03,01,050,423.9
12,03,01,060,340.1
12,03,01,070,436.0
12,03,01,080,748.8
12,03,01,090,512.5
12,03,01,100,688.2
12,03,01,110,453.5
12,03,01,999,1123.2
12,06,01,010,2363.7
12,06,01,020,1174.0
12,06,01,030,1103.8
12,06,01,040,1083.3
12,06,01,050,668.4
12,06,01,060,533.6
12,06,01,070,587.4
12,06,01,080,838.8
12,06,01,090,624.9
12,06,01,100,893.8
12,06,01,110,561.3
12,06,01,999,1895.9
12,03,02,010,328.3
12,03,02,020,154.3
12,03,02,030,137.9
12,03,02,040,97.4
12,03,02,050,91.5
12,03,02,060,59.6
12,03,02,070,174.8
12,03,02,080,146.4
12,03,02,090,158.4
12,03,02,100,113.9
12,03,02,110,115.5
12,03,02,999,212.1
12,03,03,010,509.7
12,03,03,020,596.8
12,03,03,030,468.4
12,03,03,040,289.6
12,03,03,050,344.6
12,03,03,060,294.2
12,03,03,070,254.9
12,03,03,080,540.6
12,03,03,090,458.9
12,03,03,100,517.6
12,03,03,110,340.4
12,03,03,999,578.1
12,06,03,010,355.0
12,06,03,020,361.4
12,06,03,030,369.0
12,06,03,040,343.2
12,06,03,050,246.4
12,06,03,060,252.0
12,06,03,070,195.3
12,06,03,080,293.7
12,06,03,090,284.8
12,06,03,100,353.1
12,06,03,110,325.2
12,06,03,999,407.5
12,03,04,010,609.5
12,03,04,020,686.6
12,03,04,030,483.0
12,03,04,040,337.9
12,03,04,050,412.6
12,03,04,060,361.9
12,03,04,070,202.9
12,03,04,080,623.5
12,03,04,090,526.2
12,03,04,100,694.8
12,03,04,110,374.4
12,03,04,999,724.7
12,06,04,010,850.4
12,06,04,020,779.3
12,06,04,030,823.3
12,06,04,040,871.3
12,06,04,050,682.7
12,06,04,060,646.0
12,06,04,070,442.5
12,06,04,080,612.5
12,06,04,090,736.1
12,06,04,100,675.4
12,06,04,110,549.8
12,06,04,999,1079.6
12,03,05,010,682.0
12,03,05,020,859.8
12,03,05,030,596.3
12,03,05,040,488.6
12,03,05,050,398.2
12,03,05,060,390.8
12,03,05,070,370.3
12,03,05,080,735.8
12,03,05,090,529.4
12,03,05,100,679.5
12,03,05,110,460.6
12,03,05,999,848.9
12,06,05,010,1441.4
12,06,05,020,993.1
12,06,05,030,1010.0
12,06,05,040,1068.8
12,06,05,050,647.2
12,06,05,060,841.0
12,06,05,070,751.2
12,06,05,080,744.3
12,06,05,090,833.8
12,06,05,100,924.3
12,06,05,110,580.1
12,06,05,999,1359.4
12,03,06,010,1043.0
12,03,06,020,1021.3
12,03,06,030,712.4
12,03,06,040,543.9
12,03,06,050,449.1
12,03,06,060,448.3
12,03,06,070,583.7
12,03,06,080,838.0
12,03,06,090,584.4
12,03,06,100,736.3
12,03,06,110,517.5
12,03,06,999,997.8
12,06,06,010,1926.5
12,06,06,020,1260.1
12,06,06,030,1138.5
12,06,06,040,1247.3
12,06,06,050,750.8
12,06,06,060,843.7
12,06,06,070,600.0
12,06,06,080,905.6
12,06,06,090,769.9
12,06,06,100,1021.7
12,06,06,110,576.3
12,06,06,999,1987.2
12,03,07,010,1308.2
12,03,07,020,1113.2
12,03,07,030,829.1
12,03,07,040,624.4
12,03,07,050,466.0
12,03,07,060,593.4
12,03,07,070,587.8
12,03,07,080,882.7
12,03,07,090,618.0
12,03,07,100,918.1
12,03,07,110,525.3
12,03,07,999,1118.8
12,06,07,010,2124.0
12,06,07,020,1481.5
12,06,07,030,1257.2
12,06,07,040,1301.8
12,06,07,050,882.7
12,06,07,060,942.9
12,06,07,070,796.1
12,06,07,080,982.2
12,06,07,090,809.4
12,06,07,100,1102.4
12,06,07,110,695.6
12,06,07,999,2170.6
12,03,08,010,1617.1
12,03,08,020,1216.2
12,03,08,030,977.5
12,03,08,040,682.3
12,03,08,050,517.2
12,03,08,060,499.0
12,03,08,070,662.8
12,03,08,080,955.6
12,03,08,090,579.9
12,03,08,100,947.9
12,03,08,110,565.9
12,03,08,999,1386.8
12,06,08,010,2440.9
12,06,08,020,1600.2
12,06,08,030,1389.5
12,06,08,040,1438.5
12,06,08,050,881.2
12,06,08,060,711.1
12,06,08,070,1085.4
12,06,08,080,1155.7
12,06,08,090,761.2
12,06,08,100,1111.7
12,06,08,110,720.5
12,06,08,999,2383.5
12,03,09,010,1732.7
12,03,09,020,1257.4
12,03,09,030,946.5
12,03,09,040,700.1
12,03,09,050,547.7
12,03,09,060,565.1
12,03,09,070,483.8
12,03,09,080,899.3
12,03,09,090,526.8
12,03,09,100,741.1
12,03,09,110,569.5
12,03,09,999,1460.4
12,06,09,010,2831.6
12,06,09,020,1825.8
12,06,09,030,1732.6
12,06,09,040,1645.2
12,06,09,050,780.2
12,06,09,060,693.6
12,06,09,070,566.9
12,06,09,080,1159.0
12,06,09,090,648.6
12,06,09,100,1488.5
12,06,09,110,632.9
12,06,09,999,2797.1
12,03,10,010,1893.8
12,03,10,020,1300.4
12,03,10,030,1078.4
12,03,10,040,695.0
12,03,10,050,440.4
12,03,10,060,396.9
12,03,10,070,452.2
12,03,10,080,909.7
12,03,10,090,582.0
12,03,10,100,734.8
12,03,10,110,526.9
12,03,10,999,1525.5
12,06,10,010,2661.0
12,06,10,020,1800.4
12,06,10,030,1732.7
12,06,10,040,1486.0
12,06,10,050,658.3
12,06,10,060,490.8
12,06,10,070,683.0
12,06,10,080,1031.4
12,06,10,090,494.1
12,06,10,100,912.3
12,06,10,110,681.2
12,06,10,999,2638.3
12,03,11,010,1209.2
12,03,11,020,735.1
12,03,11,030,699.3
12,03,11,040,445.3
12,03,11,050,339.9
12,03,11,060,200.9
12,03,11,070,642.8
12,03,11,080,474.9
12,03,11,090,317.6
12,03,11,100,472.1
12,03,11,110,302.6
12,03,11,999,772.4
12,06,11,010,1596.3
12,06,11,020,1259.9
12,06,11,030,879.4
12,06,11,040,792.6
12,06,11,050,414.4
12,06,11,060,181.1
12,06,11,070,284.1
12,06,11,080,593.2
12,06,11,090,237.8
12,06,11,100,486.2
12,06,11,110,362.2
12,06,11,999,993.5
12,03,12,010,923.8
12,03,12,020,532.8
12,03,12,030,309.9
12,03,12,040,321.9
12,03,12,050,222.5
12,03,12,060,81.4
12,03,12,070,228.6
12,03,12,080,248.2
12,03,12,090,167.3
12,03,12,100,276.2
12,03,12,110,147.5
12,03,12,999,626.5
12,06,12,010,1122.8
12,06,12,020,808.8
12,06,12,030,381.2
12,06,12,040,492.4
12,06,12,050,180.0
12,06,12,060,61.9
12,06,12,070,77.3
12,06,12,080,309.5
12,06,12,090,121.3
12,06,12,100,201.6
12,06,12,110,82.4
12,06,12,999,415.6
12,03,13,010,430.2
12,03,13,020,455.9
12,03,13,030,267.9
12,03,13,040,410.6
12,03,13,050,199.5
12,03,13,060,25.3
12,03,13,070,56.2
12,03,13,080,233.1
12,03,13,090,122.1
12,03,13,100,201.1
12,03,13,110,106.9
12,03,13,999,132.0
12,06,13,010,845.1
12,06,13,020,495.5
12,06,13,030,204.6
12,06,13,040,235.8
12,06,13,050,113.5
12,06,13,060,35.8
12,06,13,070,55.7
12,06,13,080,160.9
12,06,13,090,199.6
12,06,13,100,223.5
12,06,13,110,68.7
12,06,13,999,680.2
13,03,01,010,46785.0
13,03,01,020,82715.0
13,03,01,030,148647.0
13,03,01,040,94636.0
13,03,01,050,119524.0
13,03,01,060,14598.0
13,03,01,070,2654.0
13,03,01,080,260064.0
13,03,01,090,102113.0
13,03,01,100,43145.0
13,03,01,110,61321.0
